hydro_year,n_stations,mean_swe_obs_median,mean_swe_mod_median,mean_swe_obs_mean,mean_swe_mod_mean,mean_swe_djfm_obs_median,mean_swe_djfm_mod_median,mean_swe_djfm_obs_mean,mean_swe_djfm_mod_mean,mean_swe_snow_obs_median,mean_swe_snow_mod_median,mean_swe_snow_obs_mean,mean_swe_snow_mod_mean,max_swe_obs_median,max_swe_mod_median,max_swe_obs_mean,max_swe_mod_mean,dohy_max_obs_median,dohy_max_mod_median,dohy_max_obs_mean,dohy_max_mod_mean,dohy_first_snow_obs_median,dohy_first_snow_mod_median,dohy_first_snow_obs_mean,dohy_first_snow_mod_mean,dohy_last_snow_obs_median,dohy_last_snow_mod_median,dohy_last_snow_obs_mean,dohy_last_snow_mod_mean,snow_duration_obs_median,snow_duration_mod_median,snow_duration_obs_mean,snow_duration_mod_mean,n_snow_weeks_obs_median,n_snow_weeks_mod_median,n_snow_weeks_obs_mean,n_snow_weeks_mod_mean,swe_days_obs_median,swe_days_mod_median,swe_days_obs_mean,swe_days_mod_mean
1967,181,0.9913043478260868,1.581949333152174,9.688644494436977,12.061362488306331,2.6,5.1971089961584624,20.238922423835337,30.105378470114903,11.092857142857143,9.284463599999999,33.11625267142756,32.80133839174195,17.0,20.782707,45.79502762430939,54.57165310903867,74.0,74.0,69.6842105263158,75.56,18.0,25.0,29.105263157894736,30.24,102.0,109.0,107.10526315789474,108.8,84.0,84.0,78.0,78.56,5.0,8.0,5.922651933701657,8.209944751381215,324.1,472.42971335,2263.4867403314915,3127.1836233887725
1968,185,1.2276595744680852,2.1468867960784315,8.034755252768528,9.649803479769648,4.010833333333333,8.031363844197479,18.84851219676707,26.008994413654783,13.370952380952382,13.726604141025641,28.67682684922965,29.91295751366219,19.1,24.950447,42.31945945945946,48.405157982756755,73.0,87.0,78.94520547945206,95.28333333333333,45.0,38.0,47.205479452054796,50.09444444444444,129.0,136.0,116.77397260273973,129.97222222222223,84.0,84.0,69.56849315068493,79.87777777777778,6.0,8.0,6.367567567567567,8.67027027027027,403.90000000000003,710.0885864100001,1955.6827027027027,2600.2803955696204
1969,186,2.708125,3.8231345591233032,7.217442050491504,7.228153096005111,9.156904761904762,13.65390533122172,17.2157209710047,19.14095409524288,19.1125,17.95590826923077,27.08171592849487,23.209424995442706,28.75,31.2199685,41.30967741935484,38.832026253225806,113.0,113.0,103.83225806451613,116.59562841530055,57.0,50.0,55.3741935483871,49.5792349726776,148.0,148.0,139.19354838709677,143.71584699453553,84.0,91.0,83.81935483870967,94.13661202185793,9.0,10.0,7.924731182795699,9.983870967741936,918.75,1228.70683495,1764.7940860215053,1926.073180064728
1970,182,12.6284375,18.322065071280484,20.999563087082425,21.92544316385331,36.52430555555556,50.86334771180556,46.28216780829939,52.70664580609346,40.35,50.671251999999996,53.056214838747366,52.88092623518694,68.55,90.3144,97.77692307692308,95.38343709417583,126.0,126.0,114.54966887417218,125.95977011494253,28.0,28.0,32.21854304635762,39.224137931034484,147.0,154.0,154.50993377483445,155.16666666666666,112.0,119.0,122.29139072847683,115.94252873563218,15.0,16.0,12.26923076923077,13.494505494505495,3253.25,4886.8239718375,5068.530769230769,5494.802848996344
1971,181,1.9645833333333333,1.6989871940612242,4.694282090423448,4.024416446429556,6.902941176470589,6.012873776875,11.853397357771133,11.656758525169675,17.583333333333332,12.607700344047618,23.656752741425997,16.867629737798943,24.5,17.801857,34.50110497237569,27.112946889016577,128.0,79.0,107.9271523178808,97.70833333333333,65.0,51.0,62.96026490066225,54.833333333333336,128.0,135.0,130.87417218543047,135.625,70.0,77.0,67.91390728476821,80.79166666666667,6.0,7.0,5.530386740331492,7.088397790055248,628.6000000000001,559.4172617879999,1140.8685082872928,1089.7567582743845
1972,184,0.6862745098039216,1.1214258923245097,2.1730965566845257,2.92730597163073,1.7661904761904763,3.016056898689584,4.697276117502765,7.4109246963822795,10.95,8.180019031944445,13.34220213687367,12.155003428280626,12.7,13.898731,16.169565217391302,20.633823224836956,92.0,92.0,85.30656934306569,77.96111111111111,22.0,22.0,39.372262773722625,31.45,106.0,106.0,126.5912408759124,135.4388888888889,77.0,84.0,87.21897810218978,103.9888888888889,4.0,7.0,4.309782608695652,6.907608695652174,235.20000000000002,383.58802296395004,542.8119565217391,799.0613928655017
1973,185,0.628,0.5857103533877551,4.5334061290729535,4.121268360708312,2.0614583333333334,1.8961354946153843,9.636039499582898,9.824905495557637,10.0,6.7219731,18.928605013163835,14.076489289640651,14.2,10.153887,31.47945945945946,26.866881427405403,118.0,118.0,115.35135135135135,108.78947368421052,83.0,27.0,63.08783783783784,52.83040935672515,132.0,125.0,134.97972972972974,135.56140350877192,49.0,91.0,71.89189189189189,82.73099415204679,4.0,5.0,4.870270270270271,6.145945945945946,217.0,196.09076872,1104.6113513513515,1128.4094223440766
1974,180,0.6464313725490196,0.7990862375859182,5.997476644960399,5.583123279728095,2.12,2.5228349157142858,13.526225748500233,13.859888952054018,12.3,8.009018991666668,24.77872175307098,18.141923595979165,14.5,12.556218000000001,33.82888888888889,29.268789683666668,47.0,47.0,48.904761904761905,58.174698795180724,33.0,33.0,32.142857142857146,35.19277108433735,75.0,246.5,87.76190476190476,217.78313253012047,35.0,126.0,55.61904761904762,182.59036144578315,4.0,6.0,4.611111111111111,6.633333333333334,232.05,276.80012958149996,1409.765,1457.2058192552115
1975,179,0.3137254901960784,0.32918933279999996,2.7191200013595664,2.5976485600278547,0.9375,1.0134395605555555,5.337346487083589,6.407339331763187,9.05,4.912663,14.80493169972927,10.074660770554631,10.7,8.436687,18.06312849162011,16.906488810335194,116.0,88.0,94.83846153846154,88.72121212121212,46.0,46.0,64.84615384615384,54.18787878787879,151.0,151.0,127.3076923076923,131.4848484848485,70.0,84.0,62.46153846153846,77.2969696969697,2.0,3.0,2.642458100558659,4.698324022346369,105.0,115.21626647999999,732.4033519553071,820.1363767297448
1976,187,1.078,1.1624694189583333,8.325952794917029,11.166548512422642,3.1258333333333335,3.728841331944444,16.677099945919917,24.99587802898224,9.336363636363636,7.748288361818181,24.288881307932954,26.18080799573318,15.2,15.083731,37.56577540106952,44.06820495037433,94.0,108.0,84.62091503267973,94.53846153846153,24.0,24.0,32.830065359477125,33.42307692307692,115.0,143.0,124.2875816993464,131.84615384615384,91.0,112.0,91.45751633986929,98.42307692307692,6.0,9.0,6.9411764705882355,9.390374331550802,357.7,387.95493002,2073.6994652406415,2898.773598318071
