station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-20000-0-11423,49,1.0,1976.0,2024.0,0,21.0,12.0,25.0,0.1608250371066138,49,True,True,True,True,True,True,True,,1976-2025,49,Přimda,49.669444,12.678056,742.76
0-20000-0-11457,49,1.0,1976.0,2024.0,0,23.0,17.0,26.0,0.08737475377203248,49,True,True,True,True,True,True,True,,1976-2025,49,Churáňov,49.068333,13.615278,1117.8
0-20000-0-11487,49,1.0,1976.0,2024.0,0,21.0,13.0,26.0,0.14033749634964152,49,True,True,True,True,True,True,True,,1976-2025,49,Kocelovice,49.467222,13.838611,519.0
0-20000-0-11628,49,1.0,1976.0,2024.0,0,22.0,11.0,26.0,0.1762147432599994,49,True,True,True,True,True,True,True,,1976-2025,49,Košetice  Křešín  Kramolín,49.573504,15.08046,532.29
0-20000-0-11659,49,1.0,1976.0,2024.0,0,22.0,13.0,26.0,0.14787609340160796,49,True,True,True,True,True,True,True,,1976-2025,49,Přibyslav  Hřiště,49.582785,15.7625,532.5
0-20000-0-11766,49,1.0,1976.0,2024.0,0,22.0,16.0,26.0,0.10336947754225546,49,True,True,True,True,True,True,True,,1976-2025,49,Červená,49.777222,17.541944,748.13
0-20000-0-11782,49,1.0,1976.0,2024.0,0,23.0,11.0,26.0,0.16311915523570852,49,True,True,True,True,True,True,True,,1976-2025,49,Mošnov,49.691944,18.112778,252.8
0-20000-0-11787,49,1.0,1976.0,2024.0,0,25.0,16.0,26.0,0.08842207340620771,49,True,True,True,True,True,True,True,,1976-2025,49,Lysá hora,49.546111,18.4475,1322.03
0-203-0-10406025001,49,1.0,1976.0,2024.0,0,23.0,11.0,26.0,0.16502792387167256,49,True,True,True,True,True,True,True,,1976-2025,49,Dolní Chvatliny,49.983593,15.065951,290.0
0-203-0-10501025001,49,1.0,1976.0,2024.0,0,24.0,16.0,26.0,0.0832881569084059,49,True,True,True,True,True,True,True,,1976-2025,49,Jilemnice,50.6014,15.5125,462.0
0-203-0-10501036001,49,1.0,1976.0,2024.0,0,22.0,12.0,26.0,0.11395820472681094,49,True,True,True,True,True,True,True,,1976-2025,49,Nová Paka,50.49,15.5136,450.0
0-203-0-10601011001,49,1.0,1976.0,2024.0,0,22.0,13.0,26.0,0.14531893546652352,49,True,True,True,True,True,True,True,,1976-2025,49,Borová Lada,48.99055,13.661958,898.0
0-203-0-10601050001,49,1.0,1976.0,2024.0,0,23.0,13.0,26.0,0.15800815335878365,49,True,True,True,True,True,True,True,,1976-2025,49,Stožec,48.8570531,13.8217247,797.0
0-203-0-10801005002,49,1.0,1976.0,2024.0,0,24.0,18.0,26.0,0.07173211065772077,49,True,True,True,True,True,True,True,,1976-2025,49,Filipova Huť,49.0298283,13.5197133,1110.0
0-203-0-10801069001,49,1.0,1976.0,2024.0,0,21.0,15.0,26.0,0.12162606385262999,49,True,True,True,True,True,True,True,,1976-2025,49,Čachrov,49.264136,13.301694,729.0
0-203-0-10801117001,49,1.0,1976.0,2024.0,0,22.0,10.0,26.0,0.1355604901636684,49,True,True,True,True,True,True,True,,1976-2025,49,Chanovice,49.4031031,13.7176939,533.0
0-203-0-10802009001,49,1.0,1976.0,2024.0,0,20.0,10.0,26.0,0.17027743411918125,49,True,True,True,True,True,True,True,,1976-2025,49,Vimperk,49.0657822,13.7824278,637.0
0-203-0-10901012001,49,1.0,1976.0,2024.0,0,22.0,12.0,25.0,0.13144019785128216,49,True,True,True,True,True,True,True,,1976-2025,49,Nížkov,49.5325,15.8067,531.0
0-203-0-10901046001,49,1.0,1976.0,2024.0,0,24.0,13.0,26.0,0.10553026196275186,49,True,True,True,True,True,True,True,,1976-2025,49,Polná,49.4864,15.7061,490.0
0-203-0-10901060001,49,1.0,1976.0,2024.0,0,23.0,11.0,26.0,0.12326961883542747,49,True,True,True,True,True,True,True,,1976-2025,49,Štoky,49.501462,15.590799,530.0
0-203-0-10901104001,49,1.0,1976.0,2024.0,0,23.0,12.0,26.0,0.11125414712285238,49,True,True,True,True,True,True,True,,1976-2025,49,Habry,49.751989,15.486748,470.0
0-203-0-10901110001,49,1.0,1976.0,2024.0,0,23.0,10.0,26.0,0.12481476396347406,49,True,True,True,True,True,True,True,,1976-2025,49,Světlá nad Sázavou,49.6728,15.4075,410.0
