station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-203-0-11644,68,0.9855072463768116,1956.0,2024.0,1,23.0,12.0,26.0,0.14913649978209917,69,True,True,True,True,True,True,True,,1956-2025,69,Benecko,50.6713,15.5499,780.0
0-203-0-20301001001,64,0.927536231884058,1956.0,2024.0,2,23.0,16.0,26.0,0.12845677280311896,66,True,True,True,True,True,True,True,,1956-2025,69,Bílá  Hlavatá,49.421292,18.37984,770.0
0-20000-0-11766,69,1.0,1956.0,2024.0,0,22.0,12.0,26.0,0.15284346457240894,69,True,True,True,True,True,True,True,,1956-2025,69,Červená,49.777222,17.541944,748.13
0-203-0-11793,65,0.9420289855072463,1957.0,2022.0,2,21.0,12.0,25.0,0.11933235398232143,68,True,True,True,True,True,True,True,,1956-2025,69,Bílá  Salajka,49.4132897,18.4206592,725.0
0-203-0-11001058001,69,1.0,1956.0,2024.0,0,23.0,13.0,26.0,0.13896621549750796,69,True,True,True,True,True,True,True,,1956-2025,69,Tři Sekery,49.943647,12.616463,672.0
0-203-0-10802009001,68,0.9855072463768116,1957.0,2024.0,1,20.5,10.0,26.0,0.19116713062816432,69,True,True,True,True,True,True,True,,1956-2025,69,Vimperk,49.0657822,13.7824278,637.0
0-203-0-11401004201,66,0.9565217391304348,1956.0,2024.0,1,21.5,10.0,26.0,0.17844057655051285,69,True,True,True,True,True,True,True,,1956-2025,69,Boleboř,50.537395,13.415082,600.0
0-203-0-10702020001,66,0.9565217391304348,1956.0,2023.0,1,23.0,11.0,26.0,0.14023678013384894,68,True,True,True,True,True,True,True,,1956-2025,69,Nová Bystřice,49.0190528,15.0986103,583.0
0-203-0-11102028001,67,0.9710144927536232,1956.0,2024.0,1,22.0,12.0,26.0,0.17637335525502704,69,True,True,True,True,True,True,True,,1956-2025,69,Verušičky,50.140984,13.172377,582.0
0-203-0-11583,65,0.9420289855072463,1956.0,2024.0,2,21.0,10.0,26.0,0.1597956201892825,68,True,True,True,True,True,True,True,,1956-2025,69,Černovice  Dobešov,49.3575,14.9625,580.0
0-203-0-11794,69,1.0,1956.0,2024.0,0,23.0,14.0,26.0,0.11591274035324166,69,True,True,True,True,True,True,True,,1956-2025,69,Horní Bečva,49.4311,18.2983,565.0
0-203-0-10703011001,67,0.9710144927536232,1956.0,2024.0,1,24.0,10.0,26.0,0.12346551416483348,69,True,True,True,True,True,True,True,,1956-2025,69,Kamenice nad Lipou  Vodná,49.2831,15.0633,557.0
0-203-0-20101025001,68,0.9855072463768116,1956.0,2024.0,1,22.0,11.0,26.0,0.18672045706827228,69,True,True,True,True,True,True,True,,1956-2025,69,Budišov nad Budišovkou,49.797195,17.618216,530.0
0-203-0-20301008002,67,0.9710144927536232,1956.0,2024.0,2,22.0,12.0,26.0,0.13025390857164246,69,True,True,True,True,True,True,True,,1956-2025,69,Staré Hamry  Samčanka,49.468936,18.43389,527.0
0-203-0-41101014001,67,0.9710144927536232,1956.0,2024.0,1,22.0,15.0,26.0,0.1241304792737477,69,True,True,True,True,True,True,True,,1956-2025,69,Velké Karlovice,49.359444,18.286944,518.0
0-203-0-41101034002,66,0.9565217391304348,1956.0,2024.0,2,23.5,13.0,26.0,0.11219828795180084,68,True,True,True,True,True,True,True,,1956-2025,69,Zděchov,49.2639,18.0772,491.0
0-203-0-11002086001,67,0.9710144927536232,1956.0,2024.0,2,23.0,14.0,26.0,0.11261082849127158,68,True,True,True,True,True,True,True,,1956-2025,69,Chudenice,49.465405,13.176262,490.0
0-203-0-11001016001,68,0.9855072463768116,1956.0,2024.0,1,21.0,11.0,26.0,0.1811678939764532,69,True,True,True,True,True,True,True,,1956-2025,69,Tachov,49.798357,12.623135,487.0
0-203-0-20202070001,64,0.927536231884058,1956.0,2024.0,3,21.0,10.0,26.0,0.18758135553809424,68,True,True,True,True,True,True,True,,1956-2025,69,Melč,49.849444,17.756944,478.0
0-203-0-11005011001,69,1.0,1956.0,2024.0,0,23.0,11.0,26.0,0.153470585418688,69,True,True,True,True,True,True,True,,1956-2025,69,Žinkovy,49.486555,13.491503,475.0
