season,season_dow,weekday
1895,4,Fri
1896,4,Fri
1897,4,Fri
1898,4,Fri
1899,4,Fri
1900,4,Fri
1901,4,Fri
1902,4,Fri
1903,4,Fri
1904,4,Fri
1905,4,Fri
1906,4,Fri
1907,4,Fri
1908,4,Fri
1909,4,Fri
1910,4,Fri
1911,4,Fri
1912,4,Fri
1913,4,Fri
1914,4,Fri
1915,4,Fri
1916,4,Fri
1917,4,Fri
1918,4,Fri
1919,4,Fri
1920,4,Fri
1921,4,Fri
1922,4,Fri
1923,4,Fri
1924,4,Fri
1925,4,Fri
1926,4,Fri
1927,4,Fri
1928,4,Fri
1929,4,Fri
1930,4,Fri
1931,4,Fri
1932,4,Fri
1933,4,Fri
1934,4,Fri
1935,4,Fri
1936,4,Fri
1937,4,Fri
1938,4,Fri
1939,4,Fri
1940,4,Fri
1941,4,Fri
1942,4,Fri
1943,4,Fri
1944,4,Fri
1945,4,Fri
1946,4,Fri
1947,4,Fri
1948,4,Fri
1949,4,Fri
1950,4,Fri
1951,4,Fri
1952,4,Fri
1953,4,Fri
1954,4,Fri
1955,4,Fri
1956,4,Fri
1957,4,Fri
1958,4,Fri
1959,4,Fri
1960,4,Fri
1961,4,Fri
1962,4,Fri
1963,4,Fri
1964,4,Fri
1965,4,Fri
1966,4,Fri
1967,4,Fri
1968,4,Fri
1969,4,Fri
1970,0,Mon
1971,0,Mon
1972,0,Mon
1973,0,Mon
1974,0,Mon
1975,0,Mon
1976,0,Mon
1977,0,Mon
1978,0,Mon
1979,0,Mon
1980,0,Mon
1981,0,Mon
1982,0,Mon
1983,0,Mon
1984,0,Mon
1985,0,Mon
1986,0,Mon
1987,0,Mon
1988,0,Mon
1989,0,Mon
1990,0,Mon
1991,0,Mon
1992,0,Mon
1993,0,Mon
1994,0,Mon
1995,0,Mon
1996,0,Mon
1997,0,Mon
1998,0,Mon
1999,0,Mon
2000,0,Mon
2001,0,Mon
2002,0,Mon
2003,0,Mon
2004,0,Mon
2005,0,Mon
2006,0,Mon
2007,0,Mon
2008,0,Mon
2009,0,Mon
2010,0,Mon
2011,0,Mon
2012,0,Mon
2013,0,Mon
2014,0,Mon
2015,0,Mon
2016,0,Mon
2017,0,Mon
2018,0,Mon
2019,0,Mon
2020,0,Mon
2021,0,Mon
2022,0,Mon
2023,0,Mon
2024,0,Mon
2025,0,Mon
