station_id,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0-20000-0-11766,12.0,20.0,22.0,22.0,16.0,16.0,23.0,20.0,17.0,20.0,26.0,18.0,22.0,22.0,17.0,14.0,16.0,12.0,13.0,20.0,17.0,22.0,25.0,20.0,20.0,22.0,25.0,23.0,23.0,19.0,24.0,23.0,22.0,21.0,20.0,24.0,26.0,21.0,21.0,23.0,20.0,18.0,22.0,21.0,24.0,24.0,23.0,23.0,18.0,23.0,22.0,22.0,23.0,23.0,18.0,23.0,24.0,24.0,23.0,20.0,21.0,16.0,20.0,18.0,20.0,23.0,19.0,24.0,23.0
0-203-0-10502005001,24.0,24.0,22.0,18.0,24.0,13.0,25.0,17.0,12.0,9.0,9.0,9.0,14.0,5.0,17.0,22.0,17.0,19.0,25.0,14.0,16.0,14.0,13.0,23.0,25.0,21.0,20.0,19.0,22.0,25.0,25.0,24.0,22.0,22.0,23.0,23.0,23.0,23.0,21.0,20.0,22.0,21.0,20.0,12.0,8.0,24.0,11.0,22.0,23.0,20.0,26.0,25.0,25.0,24.0,24.0,24.0,20.0,23.0,24.0,23.0,23.0,22.0,24.0,26.0,24.0,22.0,17.0,25.0,23.0
0-203-0-10702020001,11.0,11.0,8.0,15.0,20.0,26.0,26.0,24.0,23.0,24.0,24.0,21.0,22.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,26.0,25.0,25.0,26.0,25.0,23.0,26.0,26.0,24.0,24.0,24.0,20.0,23.0,23.0,23.0,24.0,24.0,8.0,20.0,21.0,22.0,21.0,23.0,23.0,22.0,23.0,21.0,23.0,19.0,25.0,26.0,23.0,24.0,25.0,24.0,23.0,23.0,25.0,23.0,26.0,23.0,21.0,24.0,22.0,25.0,21.0,25.0,12.0,
0-203-0-10702028001,10.0,14.0,13.0,9.0,21.0,23.0,26.0,,3.0,26.0,23.0,25.0,25.0,8.0,17.0,25.0,25.0,23.0,22.0,22.0,21.0,21.0,21.0,22.0,21.0,14.0,23.0,22.0,22.0,21.0,25.0,22.0,22.0,26.0,22.0,21.0,21.0,,12.0,16.0,24.0,21.0,16.0,21.0,21.0,26.0,19.0,19.0,19.0,23.0,26.0,20.0,20.0,22.0,24.0,22.0,20.0,25.0,20.0,25.0,23.0,21.0,25.0,22.0,24.0,16.0,22.0,24.0,24.0
0-203-0-10703011001,13.0,17.0,4.0,10.0,22.0,25.0,25.0,24.0,26.0,25.0,23.0,24.0,26.0,25.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,25.0,25.0,23.0,25.0,23.0,23.0,24.0,24.0,23.0,25.0,21.0,23.0,25.0,24.0,24.0,24.0,5.0,22.0,24.0,23.0,20.0,20.0,22.0,24.0,22.0,21.0,20.0,19.0,23.0,25.0,21.0,23.0,24.0,25.0,23.0,20.0,20.0,23.0,24.0,24.0,21.0,24.0,25.0,24.0,21.0,20.0,25.0,23.0
0-203-0-10802009001,6.0,11.0,10.0,15.0,18.0,25.0,23.0,21.0,25.0,24.0,25.0,23.0,22.0,25.0,21.0,21.0,13.0,20.0,22.0,26.0,24.0,24.0,26.0,23.0,24.0,23.0,23.0,24.0,21.0,20.0,25.0,21.0,16.0,22.0,19.0,17.0,22.0,10.0,19.0,15.0,16.0,17.0,13.0,19.0,20.0,20.0,20.0,23.0,16.0,24.0,17.0,23.0,12.0,22.0,20.0,20.0,19.0,20.0,19.0,22.0,22.0,18.0,20.0,22.0,23.0,20.0,17.0,18.0,17.0
0-203-0-10902100001,,6.0,23.0,22.0,23.0,26.0,23.0,25.0,24.0,24.0,23.0,24.0,21.0,23.0,,,23.0,24.0,25.0,25.0,23.0,22.0,24.0,23.0,22.0,21.0,23.0,18.0,4.0,26.0,24.0,19.0,24.0,25.0,24.0,22.0,23.0,23.0,22.0,19.0,22.0,21.0,22.0,10.0,7.0,22.0,22.0,22.0,24.0,21.0,26.0,20.0,23.0,24.0,25.0,24.0,24.0,26.0,23.0,25.0,25.0,20.0,19.0,24.0,25.0,23.0,23.0,23.0,23.0
0-203-0-11001016001,23.0,20.0,22.0,21.0,21.0,17.0,11.0,17.0,14.0,18.0,11.0,15.0,13.0,5.0,25.0,25.0,24.0,24.0,25.0,24.0,24.0,25.0,26.0,24.0,25.0,22.0,23.0,21.0,19.0,24.0,23.0,21.0,21.0,21.0,22.0,17.0,23.0,20.0,22.0,15.0,22.0,17.0,20.0,21.0,14.0,12.0,15.0,17.0,23.0,20.0,26.0,21.0,23.0,25.0,24.0,21.0,20.0,25.0,23.0,20.0,23.0,20.0,18.0,26.0,25.0,22.0,20.0,22.0,20.0
0-203-0-11001058001,23.0,23.0,21.0,23.0,23.0,26.0,17.0,25.0,25.0,22.0,24.0,25.0,22.0,22.0,24.0,26.0,25.0,25.0,26.0,25.0,26.0,25.0,24.0,22.0,24.0,26.0,23.0,26.0,22.0,24.0,24.0,23.0,22.0,26.0,23.0,22.0,22.0,20.0,23.0,16.0,23.0,20.0,22.0,22.0,13.0,14.0,14.0,19.0,24.0,23.0,26.0,22.0,25.0,22.0,25.0,21.0,20.0,23.0,21.0,22.0,22.0,13.0,19.0,21.0,22.0,19.0,19.0,23.0,19.0
0-203-0-11001186001,24.0,22.0,24.0,24.0,20.0,22.0,17.0,24.0,24.0,21.0,19.0,22.0,21.0,19.0,22.0,20.0,22.0,25.0,24.0,24.0,21.0,20.0,24.0,24.0,25.0,25.0,24.0,23.0,20.0,18.0,23.0,23.0,23.0,24.0,25.0,22.0,25.0,22.0,24.0,18.0,23.0,24.0,21.0,24.0,16.0,7.0,15.0,22.0,17.0,17.0,25.0,26.0,21.0,24.0,24.0,24.0,16.0,25.0,22.0,23.0,24.0,22.0,22.0,25.0,23.0,25.0,21.0,23.0,22.0
0-203-0-11002037001,23.0,22.0,23.0,22.0,21.0,18.0,16.0,22.0,17.0,24.0,21.0,22.0,18.0,11.0,25.0,22.0,23.0,26.0,26.0,26.0,26.0,24.0,26.0,23.0,20.0,24.0,25.0,22.0,25.0,23.0,18.0,26.0,24.0,25.0,26.0,22.0,24.0,25.0,23.0,22.0,25.0,23.0,24.0,23.0,7.0,7.0,16.0,21.0,25.0,18.0,25.0,25.0,23.0,25.0,23.0,24.0,19.0,25.0,23.0,23.0,24.0,23.0,23.0,26.0,22.0,25.0,21.0,21.0,25.0
0-203-0-11002086001,14.0,20.0,22.0,21.0,25.0,9.0,,14.0,24.0,20.0,22.0,25.0,23.0,25.0,25.0,23.0,21.0,23.0,25.0,18.0,26.0,24.0,21.0,19.0,20.0,23.0,23.0,19.0,23.0,22.0,23.0,23.0,22.0,22.0,20.0,21.0,26.0,22.0,23.0,24.0,20.0,21.0,22.0,19.0,23.0,23.0,21.0,23.0,22.0,15.0,26.0,21.0,25.0,22.0,26.0,25.0,23.0,24.0,23.0,22.0,22.0,21.0,23.0,25.0,24.0,23.0,23.0,22.0,23.0
0-203-0-11002097001,23.0,22.0,24.0,23.0,23.0,25.0,26.0,23.0,25.0,25.0,26.0,23.0,25.0,25.0,15.0,25.0,25.0,24.0,26.0,25.0,25.0,23.0,21.0,24.0,24.0,25.0,24.0,20.0,26.0,25.0,24.0,25.0,23.0,23.0,25.0,17.0,25.0,24.0,22.0,21.0,23.0,22.0,24.0,24.0,22.0,22.0,23.0,24.0,21.0,17.0,26.0,24.0,22.0,22.0,23.0,23.0,20.0,25.0,22.0,25.0,23.0,21.0,23.0,25.0,24.0,24.0,25.0,23.0,25.0
0-203-0-11003009001,19.0,21.0,22.0,21.0,19.0,19.0,8.0,18.0,19.0,21.0,19.0,18.0,16.0,9.0,18.0,21.0,16.0,19.0,23.0,15.0,17.0,13.0,15.0,22.0,20.0,22.0,24.0,22.0,23.0,22.0,25.0,23.0,22.0,23.0,24.0,18.0,26.0,24.0,25.0,21.0,23.0,23.0,25.0,23.0,7.0,13.0,13.0,24.0,25.0,17.0,24.0,19.0,23.0,20.0,23.0,23.0,19.0,25.0,22.0,24.0,21.0,21.0,21.0,24.0,23.0,21.0,21.0,22.0,25.0
0-203-0-11003072001,23.0,22.0,25.0,23.0,25.0,24.0,25.0,24.0,25.0,24.0,19.0,23.0,22.0,19.0,25.0,25.0,25.0,24.0,24.0,23.0,26.0,22.0,20.0,23.0,20.0,24.0,23.0,15.0,24.0,25.0,20.0,23.0,23.0,22.0,22.0,21.0,25.0,22.0,23.0,16.0,23.0,23.0,22.0,21.0,11.0,7.0,13.0,20.0,23.0,13.0,26.0,24.0,24.0,21.0,24.0,24.0,20.0,25.0,22.0,25.0,22.0,22.0,23.0,26.0,22.0,24.0,23.0,23.0,25.0
0-203-0-11003082001,20.0,19.0,21.0,25.0,26.0,20.0,21.0,23.0,26.0,21.0,20.0,22.0,21.0,25.0,18.0,15.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,24.0,21.0,23.0,23.0,19.0,23.0,23.0,22.0,23.0,22.0,25.0,22.0,23.0,25.0,21.0,23.0,19.0,19.0,22.0,23.0,19.0,15.0,8.0,14.0,22.0,22.0,17.0,26.0,17.0,24.0,24.0,24.0,26.0,20.0,24.0,23.0,23.0,22.0,20.0,20.0,25.0,22.0,21.0,20.0,23.0,24.0
0-203-0-11005011001,25.0,20.0,22.0,24.0,22.0,15.0,14.0,24.0,20.0,23.0,21.0,21.0,25.0,23.0,21.0,24.0,24.0,25.0,26.0,23.0,23.0,14.0,26.0,25.0,26.0,26.0,26.0,24.0,23.0,25.0,22.0,22.0,23.0,22.0,19.0,16.0,26.0,21.0,22.0,23.0,23.0,25.0,22.0,24.0,11.0,11.0,15.0,24.0,21.0,23.0,26.0,24.0,25.0,25.0,26.0,24.0,22.0,25.0,24.0,25.0,23.0,21.0,19.0,24.0,25.0,23.0,22.0,21.0,23.0
0-203-0-11005040001,24.0,22.0,23.0,23.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,24.0,23.0,25.0,22.0,26.0,26.0,23.0,25.0,23.0,25.0,24.0,25.0,25.0,26.0,21.0,25.0,26.0,21.0,25.0,23.0,24.0,24.0,22.0,25.0,22.0,22.0,17.0,21.0,22.0,25.0,22.0,13.0,8.0,16.0,21.0,21.0,20.0,26.0,23.0,25.0,26.0,25.0,25.0,17.0,25.0,22.0,23.0,23.0,23.0,19.0,26.0,24.0,22.0,22.0,23.0,23.0
0-203-0-11005050001,20.0,18.0,22.0,23.0,25.0,9.0,,4.0,22.0,23.0,23.0,22.0,20.0,10.0,19.0,22.0,22.0,25.0,25.0,26.0,23.0,20.0,25.0,21.0,23.0,24.0,25.0,18.0,23.0,25.0,22.0,23.0,24.0,22.0,21.0,19.0,24.0,22.0,22.0,16.0,21.0,22.0,23.0,23.0,11.0,8.0,16.0,21.0,23.0,16.0,26.0,23.0,22.0,24.0,25.0,24.0,19.0,24.0,22.0,25.0,23.0,23.0,21.0,26.0,24.0,21.0,22.0,24.0,25.0
