station_id,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0-20000-0-11414,24.0,23.0,22.0,24.0,18.0,11.0,19.0,8.0,10.0,20.0,20.0,16.0,15.0,21.0,12.0,21.0,21.0,21.0,24.0,25.0,25.0,23.0,25.0,24.0,25.0,26.0,26.0,24.0,24.0,25.0,22.0,21.0,24.0,24.0,22.0,23.0,22.0,25.0,23.0
0-20000-0-11423,23.0,24.0,14.0,22.0,16.0,15.0,23.0,12.0,16.0,25.0,22.0,15.0,18.0,18.0,19.0,16.0,25.0,24.0,25.0,24.0,23.0,22.0,23.0,25.0,22.0,22.0,23.0,21.0,21.0,20.0,21.0,20.0,20.0,20.0,22.0,20.0,22.0,23.0,20.0
0-20000-0-11457,22.0,24.0,21.0,17.0,20.0,24.0,20.0,21.0,23.0,23.0,21.0,23.0,23.0,24.0,22.0,21.0,22.0,21.0,24.0,25.0,20.0,20.0,25.0,22.0,24.0,22.0,24.0,17.0,24.0,22.0,21.0,24.0,24.0,20.0,23.0,21.0,20.0,21.0,24.0
0-20000-0-11464,25.0,22.0,19.0,22.0,20.0,17.0,22.0,19.0,15.0,22.0,20.0,12.0,17.0,11.0,7.0,11.0,16.0,18.0,20.0,23.0,21.0,17.0,23.0,23.0,17.0,21.0,24.0,19.0,20.0,20.0,21.0,20.0,20.0,15.0,20.0,16.0,21.0,22.0,16.0
0-20000-0-11487,25.0,21.0,20.0,23.0,24.0,22.0,22.0,16.0,18.0,17.0,19.0,21.0,20.0,19.0,18.0,20.0,17.0,18.0,21.0,24.0,24.0,21.0,22.0,23.0,20.0,19.0,16.0,24.0,20.0,20.0,22.0,13.0,17.0,23.0,23.0,20.0,21.0,26.0,25.0
0-20000-0-11502,22.0,23.0,23.0,20.0,22.0,22.0,16.0,16.0,13.0,19.0,20.0,14.0,17.0,12.0,17.0,21.0,23.0,21.0,24.0,22.0,15.0,22.0,24.0,25.0,22.0,23.0,21.0,23.0,23.0,26.0,24.0,22.0,20.0,24.0,22.0,23.0,23.0,25.0,19.0
0-20000-0-11538,,,17.0,23.0,20.0,21.0,22.0,11.0,18.0,17.0,18.0,21.0,18.0,20.0,21.0,20.0,22.0,18.0,24.0,22.0,26.0,22.0,21.0,24.0,23.0,22.0,19.0,22.0,21.0,22.0,21.0,21.0,19.0,22.0,24.0,22.0,24.0,24.0,24.0
0-20000-0-11603,25.0,25.0,21.0,22.0,22.0,22.0,22.0,18.0,19.0,23.0,20.0,12.0,19.0,13.0,13.0,18.0,19.0,22.0,22.0,23.0,17.0,22.0,23.0,25.0,26.0,23.0,23.0,25.0,22.0,23.0,21.0,20.0,22.0,23.0,23.0,22.0,23.0,25.0,24.0
0-20000-0-11628,21.0,17.0,21.0,21.0,19.0,20.0,19.0,14.0,12.0,23.0,21.0,15.0,14.0,13.0,11.0,25.0,22.0,16.0,26.0,25.0,20.0,21.0,25.0,25.0,24.0,23.0,22.0,25.0,23.0,24.0,23.0,22.0,22.0,23.0,25.0,19.0,22.0,25.0,23.0
0-20000-0-11636,25.0,25.0,17.0,20.0,22.0,19.0,24.0,20.0,23.0,24.0,25.0,18.0,20.0,16.0,9.0,22.0,22.0,23.0,24.0,25.0,26.0,23.0,25.0,23.0,25.0,25.0,18.0,24.0,24.0,20.0,24.0,20.0,23.0,18.0,26.0,17.0,24.0,25.0,19.0
