station_id,station_name,latitude,longitude,elevation_m,obs_start,obs_end,n_valid_records,n_missing_records,total_records
0-20000-0-11406,Cheb,50.068333,12.391389,483.0,1965-02-19 06:00:00+00:00,2025-12-29 06:00:00+00:00,2094,23839,25933
0-20000-0-11414,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0,1962-01-19 06:00:00+00:00,2025-12-29 06:00:00+00:00,2037,21598,23635
0-20000-0-11423,Přimda,49.669444,12.678056,742.76,1964-01-10 06:00:00+00:00,2025-12-29 06:00:00+00:00,2230,23795,26025
0-20000-0-11433,Kopisty,50.54417,13.62278,240.0,1969-12-27 06:00:00+00:00,2025-12-29 06:00:00+00:00,2011,18596,20607
0-20000-0-11438,Tušimice,50.37667,13.32806,321.71,1967-12-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,1962,19498,21460
0-20000-0-11450,Plzeň  Mikulka,49.764722,13.378889,359.8,2004-07-05 06:00:00+00:00,2025-12-22 06:00:00+00:00,1074,6780,7854
0-20000-0-11457,Churáňov,49.068333,13.615278,1117.8,1953-01-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,3008,19727,22735
0-20000-0-11464,Milešovka,50.555,13.93083,830.5,1961-01-06 06:00:00+00:00,2025-12-29 06:00:00+00:00,2252,21489,23741
0-20000-0-11487,Kocelovice,49.467222,13.838611,519.0,1975-03-10 06:00:00+00:00,2025-12-22 06:00:00+00:00,2259,15301,17560
0-20000-0-11502,Ústí nad Labem  Kočkov,50.68333,14.04111,375.39,1976-08-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,1989,16639,18628
0-20000-0-11509,Doksany,50.45889,14.17,158.0,1951-01-05 06:00:00+00:00,2025-12-29 06:00:00+00:00,2404,24595,26999
0-20000-0-11518,Praha  Ruzyně,50.100278,14.255556,364.0,1946-01-03 06:00:00+00:00,2025-12-29 06:00:00+00:00,2170,27050,29220
0-20000-0-11520,Praha  Libuš,50.007778,14.446944,302.04,1971-03-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,2034,18055,20089
0-20000-0-11538,Temelín,49.197778,14.342222,500.0,1989-01-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,1731,11783,13514
0-20000-0-11567,Praha  Kbely,50.123333,14.538056,284.5,1951-01-05 06:00:00+00:00,2025-12-29 06:00:00+00:00,1988,27020,29008
0-20000-0-11603,Liberec,50.76972,15.02389,397.72,1946-08-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,2423,24851,27274
0-20000-0-11609,Jičín,50.439511,15.352626,283.0,1969-02-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,922,10843,11765
0-20000-0-11624,Chotusice  letiště,49.940833,15.386389,238.2,1979-01-08 06:00:00+00:00,2025-12-29 06:00:00+00:00,1367,15800,17167
0-20000-0-11628,Košetice  Křešín  Kramolín,49.573504,15.08046,532.29,1932-01-01 06:00:00+00:00,2025-12-22 06:00:00+00:00,3673,30342,34015
0-20000-0-11636,Kostelní Myslová,49.159167,15.439167,569.0,1951-11-30 06:00:00+00:00,2025-12-29 06:00:00+00:00,2158,25236,27394
0-20000-0-11643,Pec pod Sněžkou,50.691944,15.728889,816.3,1988-02-01 06:00:00+00:00,2025-12-22 06:00:00+00:00,1245,12604,13849
0-20000-0-11652,Pardubice  letiště,50.016111,15.740273,224.21,1951-01-05 06:00:00+00:00,2025-12-29 06:00:00+00:00,1828,24470,26298
0-20000-0-11659,Přibyslav  Hřiště,49.582785,15.7625,532.5,1961-01-06 06:00:00+00:00,2025-12-29 06:00:00+00:00,2324,21417,23741
0-20000-0-11669,Polom  Sedloňov,50.350278,16.322222,747.24,2004-08-02 06:00:00+00:00,2025-12-22 06:00:00+00:00,581,7242,7823
0-20000-0-11679,Ústí nad Orlicí,49.980278,16.422222,401.7,1966-11-04 06:00:00+00:00,2025-12-22 06:00:00+00:00,1669,20246,21915
0-20000-0-11683,Svratouch,49.735,16.034167,734.0,1961-02-24 06:00:00+00:00,2025-12-29 06:00:00+00:00,2117,21624,23741
0-20000-0-11692,Sedlec,49.170833,16.120556,474.0,1980-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,2045,21696,23741
0-20000-0-11693,Dukovany,49.095556,16.134444,400.15,1983-02-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1269,14651,15920
0-20000-0-11698,Kuchařovice,48.881111,16.085278,334.0,1952-12-04 06:00:00+00:00,2025-12-22 06:00:00+00:00,2138,24770,26908
0-20000-0-11710,Luká,49.652222,16.953333,510.0,1922-03-03 06:00:00+00:00,2025-12-29 06:00:00+00:00,2746,20985,23731
0-20000-0-11723,Brno  Tuřany,49.153056,16.688889,241.0,1959-01-16 06:00:00+00:00,2025-12-29 06:00:00+00:00,1307,23427,24734
0-20000-0-11730,Šerák,50.1875,17.108333,1328.0,2004-01-05 06:00:00+00:00,2025-08-11 06:00:00+00:00,973,6923,7896
0-20000-0-11747,Prostějov,49.4525,17.134722,214.75,1946-12-13 06:00:00+00:00,2025-12-29 06:00:00+00:00,620,20232,20852
0-20000-0-11766,Červená,49.777222,17.541944,748.13,1953-01-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,2832,22746,25578
0-20000-0-11774,Holešov,49.320556,17.57,222.25,1954-01-08 06:00:00+00:00,2025-12-29 06:00:00+00:00,1336,25237,26573
0-20000-0-11782,Mošnov,49.691944,18.112778,252.8,1959-10-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,2324,21875,24199
0-20000-0-11787,Lysá hora,49.546111,18.4475,1322.03,1944-09-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,3122,25459,28581
