metric,n_stations,obs_median_slope_per_decade,obs_n_sig,obs_n_sig_neg,obs_n_sig_pos,obs_pct_sig_neg,mod_median_slope_per_decade,mod_n_sig,mod_n_sig_neg,mod_n_sig_pos,mod_pct_sig_neg,slope_agreement_r
mean_swe,303,-0.324,103,103,0,34.0,-0.34,139,139,0,45.9,0.776
mean_swe_djfm,303,-0.867,50,50,0,16.5,-0.992,82,82,0,27.1,0.721
mean_swe_snow,303,-0.694,28,24,4,7.9,-1.307,48,48,0,15.8,0.657
max_swe,303,-2.75,60,60,0,19.8,-3.094,75,75,0,24.8,0.738
dohy_max,303,-5.263,30,30,0,9.9,-3.75,22,22,0,7.3,0.327
dohy_first_snow,303,3.529,33,1,32,0.3,2.609,25,0,25,0.0,0.62
dohy_last_snow,303,-7.857,110,110,0,36.3,-6.571,93,93,0,30.7,0.419
snow_duration,303,-8.4,111,111,0,36.6,-7.368,93,93,0,30.7,0.571
n_snow_weeks,303,-0.769,106,106,0,35.0,-0.833,120,120,0,39.6,0.784
swe_days,303,-81.083,65,65,0,21.5,-96.647,100,100,0,33.0,0.776
