station_id,n_years,mean_swe_obs_slope,mean_swe_obs_p,mean_swe_obs_tau,mean_swe_obs_n,mean_swe_mod_slope,mean_swe_mod_p,mean_swe_mod_tau,mean_swe_mod_n,mean_swe_djfm_obs_slope,mean_swe_djfm_obs_p,mean_swe_djfm_obs_tau,mean_swe_djfm_obs_n,mean_swe_djfm_mod_slope,mean_swe_djfm_mod_p,mean_swe_djfm_mod_tau,mean_swe_djfm_mod_n,mean_swe_snow_obs_slope,mean_swe_snow_obs_p,mean_swe_snow_obs_tau,mean_swe_snow_obs_n,mean_swe_snow_mod_slope,mean_swe_snow_mod_p,mean_swe_snow_mod_tau,mean_swe_snow_mod_n,max_swe_obs_slope,max_swe_obs_p,max_swe_obs_tau,max_swe_obs_n,max_swe_mod_slope,max_swe_mod_p,max_swe_mod_tau,max_swe_mod_n,dohy_max_obs_slope,dohy_max_obs_p,dohy_max_obs_tau,dohy_max_obs_n,dohy_max_mod_slope,dohy_max_mod_p,dohy_max_mod_tau,dohy_max_mod_n,dohy_first_snow_obs_slope,dohy_first_snow_obs_p,dohy_first_snow_obs_tau,dohy_first_snow_obs_n,dohy_first_snow_mod_slope,dohy_first_snow_mod_p,dohy_first_snow_mod_tau,dohy_first_snow_mod_n,dohy_last_snow_obs_slope,dohy_last_snow_obs_p,dohy_last_snow_obs_tau,dohy_last_snow_obs_n,dohy_last_snow_mod_slope,dohy_last_snow_mod_p,dohy_last_snow_mod_tau,dohy_last_snow_mod_n,snow_duration_obs_slope,snow_duration_obs_p,snow_duration_obs_tau,snow_duration_obs_n,snow_duration_mod_slope,snow_duration_mod_p,snow_duration_mod_tau,snow_duration_mod_n,n_snow_weeks_obs_slope,n_snow_weeks_obs_p,n_snow_weeks_obs_tau,n_snow_weeks_obs_n,n_snow_weeks_mod_slope,n_snow_weeks_mod_p,n_snow_weeks_mod_tau,n_snow_weeks_mod_n,swe_days_obs_slope,swe_days_obs_p,swe_days_obs_tau,swe_days_obs_n,swe_days_mod_slope,swe_days_mod_p,swe_days_mod_tau,swe_days_mod_n,station_name,latitude,longitude,elevation_m
0-20000-0-11766,69,-0.6092388510046185,5.839544572604603e-10,-0.5098039215686274,69,-0.21858027151566642,1.9903703284566035e-07,-0.4279624893435635,69,-0.9235569852941174,2.626624287640952e-07,-0.42369991474850804,69,-0.3030137213811813,0.0006061667364166408,-0.28218243819266836,69,-0.819695512820513,1.8823724791744575e-07,-0.4288150042625746,69,-0.22887957685786436,0.004389354134763751,-0.23444160272804773,69,-1.8042335115864527,1.2144083068073192e-06,-0.3994883910851209,69,-0.3533185057915058,0.012912699718066446,-0.20460358056265984,69,-0.3895663956639567,0.010480052921313543,-0.21156551679081143,69,-0.46153846153846156,0.008244047418951395,-0.21785611416723571,69,0.0625,0.5340162487384628,0.05152563198298092,69,0.09090909090909091,0.38680165048775783,0.07169100207632283,69,-0.0,0.9751956319653813,-0.0025751680129292446,69,-0.17863247863247864,0.16810496854634127,-0.11401805816740036,69,-0.0,0.7907505958034944,-0.02249494747443616,69,-0.25925925925925924,0.13538326386582325,-0.12658921421888583,69,-0.07634032634032634,0.0032424385674184046,-0.2494790695668484,69,-0.09090909090909091,0.00044917017124316736,-0.298583622136371,69,-95.99767441860465,1.8386153295931116e-06,-0.3926668177047987,69,-30.963412267148485,0.0011020238539653318,-0.268542199488491,69,Červená,49.777222,17.541944,748.13
0-203-0-10502005001,69,0.021234256414430268,0.01185270509575369,0.2116834463485357,69,0.011853353624492415,0.5274515507504791,0.052003410059676035,69,0.05607660313542667,0.01654609884763104,0.20331112687113248,68,-0.058497018021236816,0.4586472307596108,-0.06145741878841088,68,0.08563311688311574,0.3725433590365853,0.0852508548015843,52,-0.08719042945869587,0.4847214057587129,-0.05794556628621597,68,0.3763888888888888,0.004652353421068193,0.23857445601110266,69,0.05084394412878791,0.827787772645715,0.017902813299232736,69,-0.0,0.9119798383033823,0.01062235045877299,52,-0.5797962648556876,0.0012394677439971915,-0.26860541513675135,68,-0.05358851674641148,0.7164662719999507,-0.034902008650254106,52,-0.19230769230769232,0.12323817628043877,-0.12873643913502592,68,-0.298936170212766,0.13165230085222404,-0.1445335659349012,52,-0.5166852057842046,0.002499568480785925,-0.2517103844146783,68,-0.0,0.9179316388691088,-0.010125955767376307,52,-0.22227822580645162,0.3930171831013919,-0.0722305935018638,68,0.03125,0.05548394913480038,0.16427037547805012,69,0.023255813953488372,0.36333289185154105,0.07666546347685056,69,6.249782608695657,0.014549351025505435,0.20553496450438732,69,4.791628370004824,0.4876475741690479,0.057118499573742536,69,Železný Brod,50.6408,15.2517,290.0
0-203-0-10702020001,67,-0.030846993052540142,0.07679914725396667,-0.14789687924016284,67,-0.021189414711515954,0.11531344556977899,-0.13161465400271372,67,-0.07401752190237798,0.14547567993323973,-0.12166440524649481,67,-0.043313032395238094,0.3013228099307318,-0.08638625056535505,67,0.03771929824561413,0.622340999546182,0.04149184149184149,66,0.022647009459459487,0.6700160251263125,0.035897435897435895,66,-0.09062500000000018,0.43260168775390406,-0.06567035047060293,67,-0.04417229411764702,0.676907183864428,-0.03482587064676617,67,-0.328125,0.13215628965828452,-0.1272522453224807,66,-0.08333333333333333,0.6458889604656552,-0.03887630466374396,66,0.14285714285714285,0.2902835453200796,0.08958890751072991,66,-0.0,0.9558309409631429,0.004704973355240857,66,-0.46938775510204084,0.0037171462912334325,-0.24572520624602304,66,-0.5833333333333334,9.506331025712657e-05,-0.33021439503541555,66,-0.6829268292682927,0.003960340900765093,-0.24853354830221416,66,-0.6511627906976745,0.003047908522170969,-0.2565025419368814,66,-0.1,0.0005852211879635839,-0.29538680438156517,67,-0.09302325581395349,0.0006798118987541471,-0.290793250980705,67,-9.985294117647058,0.08826351871779127,-0.1424694708276798,67,-5.154647634733333,0.1709632554582261,-0.11442786069651743,67,Nová Bystřice,49.0190528,15.0986103,583.0
0-203-0-10702028001,66,-0.013505747126436781,0.1034968386629306,-0.13773884152087923,66,-0.014738300408615816,0.07750005634757011,-0.14871794871794872,66,-0.027428865373309803,0.21922496308520478,-0.10542051480617708,64,-0.02801994470138886,0.21078041211171494,-0.10714285714285714,64,0.10535714285714284,0.014718648872187483,0.21800116890707186,59,0.037480714883721,0.3832792076833057,0.07526881720430106,63,0.04400000000000006,0.6497332616687035,0.03845318113010285,66,-0.018556686274509807,0.837758193884896,-0.01724941724941725,66,-0.0,0.9582647993938258,-0.004693492619408154,59,0.109375,0.3894898103615483,0.07478276414829804,63,0.32653061224489793,0.056924954483974666,0.17107879412968227,59,0.34615384615384615,0.02268484401394821,0.19789124825160284,63,-0.48,0.02323245102882171,-0.20328116736713928,59,-0.4444444444444444,0.007054109243051076,-0.2339651737141346,63,-0.75,0.00743617873276534,-0.2449118130717641,59,-0.8333333333333334,0.00042418854366579146,-0.3117846549138496,63,-0.06666666666666667,0.00448473397120292,-0.2475188726489947,66,-0.06349206349206349,0.005826301100132871,-0.23971088745719912,66,-1.9021739130434783,0.3937384135894867,-0.07218290941162192,66,-2.6062942904444415,0.31118386613112314,-0.0853146853146853,66,Chlum u Třeboně,48.9581153,14.9351097,462.0
0-203-0-10703011001,68,-0.03976154660933337,0.013433954259934051,-0.20504940120925735,68,-0.07083799540740743,0.003033675847396331,-0.2458296751536435,68,-0.09651268115942029,0.03038526861005854,-0.17958288028819328,68,-0.1852838247126145,0.010406941863594496,-0.21246707638279191,68,0.043212085072550116,0.5914001787475582,0.045221445221445215,66,-0.10815546905172405,0.2626348512912965,-0.09362279511533243,67,-0.09276162790697678,0.4427138646056268,-0.06375035026308658,68,-0.16108575142857137,0.2945955294480369,-0.08691834942932396,68,-0.5135135135135135,0.004678711186975921,-0.2387856984944765,66,-0.5714285714285714,0.006268300748155401,-0.22913001227339863,67,0.1836734693877551,0.22962325405008233,0.10168832377485752,66,0.15,0.19376538376191388,0.10936741133043082,67,-0.5555555555555556,0.0002936918752485911,-0.3065430049039009,66,-0.5263157894736842,0.00014131167055079342,-0.3196955286942478,67,-0.7636363636363637,0.0015624389250746646,-0.2724872109505932,66,-0.8235294117647058,0.0005485089725149035,-0.2965726357131348,67,-0.12,1.099642605841164e-05,-0.3736191246979033,68,-0.13333333333333333,5.230308569762797e-06,-0.38679740556638004,68,-12.425,0.017972527416625254,-0.1962678422709594,68,-21.80233910686706,0.00502381432441717,-0.2326602282704126,68,Kamenice nad Lipou  Vodná,49.2831,15.0633,557.0
0-203-0-10802009001,68,-0.013965738638764373,0.3044581845274493,-0.0851624231782265,68,-0.10957666325577342,0.0007907383105051998,-0.2783143107989464,68,0.020848474717522332,0.6565757953855285,0.036874451273046525,68,-0.26107527324252106,0.014893242398616096,-0.20193151887620717,68,0.17054263565891473,0.0013318222751028076,0.26820443238353686,67,-0.14182584553459682,0.17203389965051352,-0.11325724319578577,68,0.07666666666666667,0.5047802571185951,0.05533597371588527,68,-0.3219506955128203,0.08066813159948592,-0.14486391571553991,68,-0.07894736842105263,0.8033725892889445,-0.020876000207645882,67,-0.4415184678522572,0.05331146350708239,-0.16061653201825613,68,0.375,0.004405976282809937,0.23914852908707038,67,0.21428571428571427,0.02473245563540292,0.18744942853694258,68,-0.375,0.04519864161996638,-0.16799217043675296,67,-0.4387700534759358,0.005616079971800449,-0.23075523155226632,68,-0.7368421052631579,0.011154767048425515,-0.2160621990688464,67,-0.7,0.00016405291684093247,-0.32164288402857055,68,-0.12244897959183673,5.546298469930123e-05,-0.3430415360029672,68,-0.13953488372093023,3.5410549404244405e-06,-0.39383318827065855,68,-2.0513888888888836,0.6337850628930641,-0.03950834064969271,68,-31.680977121645846,0.0025508871216798697,-0.25021949078138717,68,Vimperk,49.0657822,13.7824278,637.0
0-203-0-10902100001,67,-0.0076,0.1424786761437601,-0.12267999595876088,67,-0.017768952699352452,0.05337017108315924,-0.16146540027137044,67,-0.03536789297658863,0.07269121893251689,-0.1525138718061175,65,-0.0663362032258594,0.00635676226643755,-0.23173076923076924,65,-0.020444925444925453,0.5820300850701025,-0.04715811682080513,64,-0.052376366806722634,0.3048545828893361,-0.08858166922683051,63,-0.09600000000000002,0.1975930887401106,-0.10810911467853809,67,-0.10776840000000021,0.19588867912497132,-0.10809588421528721,67,-0.29758481886141464,0.14905475060223244,-0.12385025204064308,64,-0.42857142857142855,0.04755009628456549,-0.17150260947619309,63,0.022233201581027668,0.857404027986082,0.01546545781142165,64,0.09523809523809523,0.4691358266815031,0.06280658036649772,63,-0.3178210678210678,0.06366785145211927,-0.15936381457791915,64,-0.5,0.01208020102760528,-0.2175949245122865,63,-0.17724358974358972,0.32004777056755274,-0.08734937222347379,64,-0.45161290322580644,0.048186061685550716,-0.17466307342099138,63,-0.04,0.06396440849868851,-0.16104204686948684,67,-0.08333333333333333,0.0027288817687062036,-0.2587464484453064,67,-2.6499999999999995,0.1229790052839029,-0.12901770792711015,67,-6.182278034210525,0.03344265514518775,-0.17774762550881956,67,Dolní Kralovice  Střítež,49.66272,15.159775,420.0
0-203-0-11001016001,69,0.0036208001547828527,0.2527802204359201,0.09537557117391039,69,-0.01738552737917306,0.2721793704563612,-0.09036658141517476,69,0.011980749746707195,0.2898977475493696,0.08915625650402965,68,-0.11599547084415585,0.0553381987923891,-0.15891132572431954,68,0.03362573099415209,0.47969773711465147,0.06497727167656071,56,-0.013380399531784104,0.8989074441877669,-0.010535557506584721,68,0.14083333333333334,0.0834341457029522,0.14445950634846252,69,-0.1556456644736842,0.351174794365141,-0.07672634271099743,69,-0.24744897959183673,0.270069388222295,-0.1016956931582428,56,-0.3333333333333333,0.1326608867590264,-0.12511090911166972,68,0.2608695652173913,0.14928395892404875,0.13281295034849558,56,-0.0,0.9366838462770599,0.006627041213408255,68,-0.3078947368421052,0.15125067953931134,-0.13229149817702615,56,-0.55,0.0007729628096967801,-0.2799231070110696,68,-0.4855653568564555,0.06355797514743376,-0.17593977511566447,56,-0.6801730920535012,0.00506186679801716,-0.23758959855505787,68,-0.0,0.6383420025134559,0.040356228751633756,69,-0.05,0.0626988493073184,-0.15758238976379105,69,1.1032258064516132,0.3310046467138854,0.08108711381659843,69,-5.031607408450007,0.2721793704563612,-0.09036658141517476,69,Tachov,49.798357,12.623135,487.0
0-203-0-11001058001,69,-0.02996769211875596,0.022059236550814924,-0.18840579710144925,69,-0.06402227807672146,0.006242107372587256,-0.2250639386189258,69,-0.07787168713639302,0.0478638367998277,-0.1628303495311168,69,-0.17438926147231631,0.014084897374317718,-0.20204603580562658,69,-0.008399453110991575,0.8989074441877669,-0.010535557506584721,68,-0.0897665462713676,0.36257729854901866,-0.07550482879719052,68,-0.10903532608695651,0.21378363286454038,-0.10247666526415122,69,-0.27019378663003657,0.10609232634655173,-0.13299232736572889,69,-0.0757142857142857,0.6641514068173129,-0.03615555426983888,68,-0.22767145135566186,0.25502660170963287,-0.09456803217849233,68,0.18065268065268064,0.15742243977192905,0.11775208938319492,68,0.0531015037593985,0.6717949234518323,0.03535208018964149,68,-0.6,1.030363493163204e-05,-0.367206217543655,68,-0.6073781291172595,0.00012903584273229757,-0.3188567813634829,68,-0.875,0.00010008805355871121,-0.3297595173338197,68,-0.7939536878216124,0.00152162510129068,-0.2695724193495426,68,-0.10344827586206896,2.8701733175876292e-05,-0.3553568338317587,69,-0.13182720953326713,1.3492471289107842e-06,-0.40769761771082214,69,-10.853333333333332,0.005952978255045331,-0.22639096655944418,69,-21.675156856965373,0.002021930969778608,-0.25404944586530265,69,Tři Sekery,49.943647,12.616463,672.0
0-203-0-11001186001,68,-0.002240080523524545,0.17845242516604032,-0.11334941153527388,68,-0.007818360133100645,0.02221045093238061,-0.189640035118525,68,-0.006900843463936443,0.2227744827272391,-0.10292686838861086,68,-0.027491845986691358,0.024134016008519204,-0.1870061457418788,68,0.009891304347826094,0.6899438109094601,0.037790737593333346,53,-0.04563920277777776,0.19342470374756093,-0.10955710955710957,66,-0.01622807017543854,0.48263258503040884,-0.0592065422265918,68,-0.10222194815972227,0.06702342322352468,-0.15188762071992973,68,-0.2,0.27235582776608347,-0.10449648937883714,53,-0.08,0.7439763671283834,-0.027596031914064664,66,0.1206896551724138,0.42043386770710456,0.07644744342734913,53,-0.15555555555555556,0.31365989736480493,-0.08526690189387762,66,-0.5425685425685425,0.004985441731778352,-0.26618245174080435,53,-0.38333333333333336,0.07026949997582835,-0.15309124659462844,66,-0.5333817126269956,0.0004372064252141574,-0.3474678624862018,53,-0.1891891891891892,0.39572095115097017,-0.07326711539545042,66,-0.02631578947368421,0.03484018876486654,-0.18509419285015605,68,-0.04,0.02520079459958957,-0.19276295407873903,68,-0.919142857142857,0.1309351057346212,-0.12726717422598088,68,-2.8181305802064562,0.017718737033560708,-0.19666374012291482,68,Plzeň  Radčice,49.765499,13.323199,320.0
